codgeo;libgeo;dep;reg;long;lat;inhab_2019
01001;L'Abergement-Clémenciat;01;84;4.91667;46.15;785
01002;L'Abergement-de-Varey;01;84;5.41667;46;244
01004;Ambérieu-en-Bugey;01;84;5.35;45.95;14518
01005;Ambérieux-en-Dombes;01;84;4.9;46;1705
01006;Ambléon;01;84;5.6;45.75;116
01007;Ambronay;01;84;5.35;46;2788
01008;Ambutrix;01;84;5.33333;45.9333;763
01009;Andert-et-Condon;01;84;5.65;45.8;344
01010;Anglefort;01;84;5.80833;45.9167;1142
01011;Apremont;01;84;5.65833;46.2083;394
01012;Aranc;01;84;5.5;46;330
01013;Arandas;01;84;5.48333;45.9;151
01014;Arbent;01;84;5.68333;46.3;3470
01015;Arboys en Bugey;01;84;5.65;45.7333;656
01016;Arbigny;01;84;4.96667;46.4667;466
01017;Argis;01;84;5.48333;45.9333;452
01019;Armix;01;84;5.58333;45.85;26
01021;Ars-sur-Formans;01;84;4.81667;45.9833;1418
01022;Artemare;01;84;5.7;45.8667;1248
01023;Asnières-sur-Saône;01;84;4.88333;46.3833;66
01024;Attignat;01;84;5.16667;46.2833;3336
01025;Bâgé-Dommartin;01;84;4.95;46.3167;4191
01026;Bâgé-le-Châtel;01;84;4.93333;46.3;971
01027;Balan;01;84;5.1;45.8333;2920
01028;Baneins;01;84;4.9;46.1167;606
01029;Beaupont;01;84;5.26667;46.4;694
01030;Beauregard;01;84;4.75139;46.002;908
01031;Bellignat;01;84;5.61667;46.25;3852
01032;Béligneux;01;84;5.11667;45.8667;3345
01033;Bellegarde-sur-Valserine;01;84;5.81667;46.1;11965
01034;Belley;01;84;5.68333;45.7667;9542
01035;Belleydoux;01;84;5.76667;46.25;326
01036;Belmont-Luthézieu;01;84;5.66167;45.8795;606
01037;Bénonces;01;84;5.48333;45.8333;298
01038;Bény;01;84;5.28333;46.3333;783
01039;Béon;01;84;5.75;45.8333;472
01040;Béréziat;01;84;5.05;46.3667;501
01041;Bettant;01;84;5.36667;45.9333;771
01042;Bey;01;84;4.85;46.2167;290
01043;Beynost;01;84;5;45.8333;4674
01044;Billiat;01;84;5.78333;46.0667;626
01045;Birieux;01;84;5.03333;45.95;289
01046;Biziat;01;84;4.93333;46.2167;866
01047;Blyes;01;84;5.25;45.85;1017
01049;La Boisse;01;84;5.03333;45.85;3074
01050;Boissey;01;84;5;46.3833;345
01051;Bolozon;01;84;5.48333;46.2;90
01052;Bouligneux;01;84;5;46.0167;325
01053;Bourg-en-Bresse;01;84;5.21667;46.2;43454
01054;Bourg-Saint-Christophe;01;84;5.16667;45.8833;1353
01056;Boyeux-Saint-Jérôme;01;84;5.46667;46.0333;360
01057;Boz;01;84;4.9;46.4;525
01058;Brégnier-Cordon;01;84;5.61667;45.65;868
01059;Brénaz;01;84;5.71667;45.95;106
01060;Brénod;01;84;5.6;46.0667;544
01061;Brens;01;84;5.69473;45.7187;1196
01062;Bressolles;01;84;5.1;45.8667;912
01063;Brion;01;84;5.55251;46.1728;523
01064;Briord;01;84;5.46667;45.7833;1004
01065;Buellas;01;84;5.13333;46.2;1814
01066;La Burbanche;01;84;5.56667;45.85;71
01067;Ceignes;01;84;5.5;46.1167;264
01068;Cerdon;01;84;5.46667;46.0833;798
01069;Certines;01;84;5.26667;46.1333;1573
01071;Cessy;01;84;6.06667;46.3167;4955
01072;Ceyzériat;01;84;5.31667;46.1667;3203
01073;Ceyzérieu;01;84;5.73333;45.8333;1038
01074;Chalamont;01;84;5.16667;46;2438
01075;Chaleins;01;84;4.8;46.0333;1329
