geoname_id;code_insee
2659086;74058
2659933;74058
2659973;74290
2879881;57309
2931193;57484
2967103;87117
2967107;89146
2967108;33058
2967109;59669
2967110;59668
2967111;67347
2967112;62906
2967113;62905
2967114;2B185
2967115;2B364
2967116;2A363
2967117;57764
2967118;62904
2967119;62903
2967120;80004
2967121;2B124
2967125;2A362
2967126;57763
2967127;67435
2967128;67560
2967130;67559
2967133;67558
2967135;88532
2967136;57762
2967137;68386
2967138;68385
2967139;68384
2967140;57761
2967141;2B361
2967143;2A360
2967144;2A276
2967145;2A359
2967146;2A358
2967147;2A357
2967148;59667
2967151;62832
2967152;67146
2967153;67557
2967154;68383
2967155;67556
2967156;67555
2967157;59666
2967158;57759
2967159;63087
2967160;2B356
2967161;63009
2967162;68382
2967163;40334
2967164;80835
2967165;37282
2967166;03321
2967168;69269
2967169;49381
2967170;80834
2967172;80833
2967173;80832
2967174;72386
2967175;72385
2967176;55295
2967177;61486
2967178;16425
2967179;33554
2967180;41297
2967181;74315
2967182;76759
2967183;22391
2967184;16424
2967185;22390
2967187;78220
2967188;50648
2967189;76758
2967190;17483
2967191;17483
2967192;86300
2967193;08503
2967194;77010
2967197;76203
2967199;76757
2967200;62909
2967201;15267
2967203;43268
2967204;18045
2967205;19289
2967206;43026
2967207;63473
2967209;89486
2967210;63472
2967213;50647
2967214;76756
2967215;76755
2967216;76013
2967217;76754
2967218;63471
2967219;80196
2967220;80836
2967221;51442
2967224;08502
2967226;15266
2967227;28004
2967228;28426
2967229;28425
2967230;76753
2967231;03320
2967232;40333
2967234;22389
2967235;10445
2967236;28424
2967237;45348
2967238;45348
2967240;62488
2967242;76752
2967243;28422
2967245;91691
2967247;28423
2967249;73330
2967250;77534
2967251;76751
2967252;15265
2967253;40332
2967254;63023
2967255;80830
2967256;76750
2967258;80829
2967259;54601
2967260;54600
2967261;57756
2967262;54599
2967263;88531
2967264;57755
2967265;54598
2967266;55586
2967267;54597
2967268;54596
2967269;88530
2967270;54595
2967271;88529
2967272;85306
2967273;57754
2967274;88528
2967275;54594
2967276;16423
2967277;79357
2967278;47327
2967279;36152
2967280;52272
2967281;88527
2967282;59665
2967283;95690
2967284;59664
2967285;57753
2967286;68381
2967287;57752
2967288;59663
2967289;67554
2967290;68380
2967291;67553
2967292;67552
2967293;67551
2967294;68379
2967295;68378
2967296;80828
2967297;57751
2967298;55093
2967299;80827
2967300;55584
2967302;80826
2967304;67550
2967305;67285
2967306;67532
2967307;57750
2967308;55583
2967309;62902
2967310;67548
2967311;57748
2967312;67547
2967313;62901
2967314;67546
2967315;68377
2967316;67545
2967317;62900
2967318;68376
2967319;68375
2967320;51662
2967321;80343
2967322;91689
2967323;02834
2967325;67544
2967326;62899
2967327;62898
2967328;62897
2967329;55582
2967330;88526
2967331;67543
2967332;80825
2967333;80825
2967334;62896
2967335;68318
2967336;67542
2967337;68374
2967338;67541
2967339;67540
2967340;57747
2967341;59662
2967342;68373
2967343;62895
2967344;67539
2967345;67538
2967346;67537
2967347;67536
2967348;02833
2967349;67535
2967350;62894
2967351;62893
2967352;67534
2967353;67530
2967354;59661
2967355;08501
2967356;67532
2967357;57746
2967358;62892
2967359;68372
2967360;55581
2967361;68371
2967362;62891
2967363;59660
2967364;62890
2967365;62760
2967366;67531
2967367;68370
2967368;67392
2967369;68145
2967370;68368
2967371;08500
2967372;59659
2967373;57745
2967374;62889
2967375;62888
2967376;80824
2967377;02832
2967378;68367
2967379;62887
2967380;59658
2967381;62886
2967382;67530
2967383;68366
2967384;67131
2967385;51571
2967386;67529
2967387;67528
2967388;68249
2967389;68365
2967390;62885
2967391;67527
2967392;67526
2967393;67525
2967394;68364
2967395;59657
2967396;62008
2967397;59656
2967398;68363
2967399;68362
2967400;59655
2967401;60702
2967402;57631
2967403;67524
2967404;67523
2967406;67522
2967407;67521
2967408;68361
2967409;68360
2967410;59654
2967411;59653
2967412;55580
2967413;59652
2967414;59651
2967415;62883
2967416;62882
2967417;54593
2967418;60701
2967419;62881
2967420;68359
2967421;59650
2967422;59649
2967423;59648
2967424;59560
2967425;62788
2967426;59647
2967427;80120
2967428;55579
2967430;02831
2967431;80464
2967434;52550
2967435;02830
2967436;68358
2967437;67520
2967438;59646
2967439;59645
2967440;08499
2967441;80823
2967443;80822
2967445;62569
2967446;08498
2967447;62721
2967449;51660
2967450;62879
2967451;62878
2967452;80821
2967453;60700
2967454;80820
2967455;62877
2967456;62024
2967457;62876
2967458;59642
2967459;62054
2967460;59641
2967461;59640
2967462;59639
2967463;80819
2967464;51659
2967465;80463
2967466;59509
2967467;62875
2967468;08497
2967469;55578
2967470;62874
2967471;59638
2967472;67122
2967473;67517
2967474;80406
2967475;62053
2967476;59637
2967477;62873
2967478;76749
2967479;76749
2967480;62872
2967481;62316
2967482;59636
2967483;60699
2967484;62871
2967485;59635
2967486;55577
2967487;67516
2967488;68357
2967489;57743
2967490;57742
2967491;57741
2967492;59634
2967493;59633
2967494;59632
2967495;59631
2967496;68356
2967497;57740
2967498;57739
2967499;67515
2967500;68355
2967501;57738
2967502;67514
2967503;67513
2967505;62645
2967506;67511
2967507;68354
2967508;62870
2967510;62247
2967511;62869
2967512;80211
2967513;62868
2967514;67510
2967515;68353
2967516;59630
2967517;62279
2967518;08496
2967519;67280
2967520;55457
2967521;08113
2967522;80248
2967523;62156
2967524;08494
2967525;62867
2967526;51553
2967527;60698
2967528;67448
2967529;62866
2967530;25635
2967531;70582
2967532;70581
2967533;70583
2967534;70580
2967535;70579
2967536;73201
2967537;69277
2967538;39585
2967539;57737
2967540;73054
2967541;74314
2967542;77533
2967543;77532
2967544;10444
2967545;02829
2967546;25634
2967547;25633
2967548;24028
2967549;44220
2967550;86211
2967551;74065
2967552;57736
2967553;88525
2967554;52549
2967555;54592
2967557;80815
2967558;03261
2967559;51658
2967560;60697
2967561;08490
2967562;44219
2967563;79292
2967564;58077
2967566;51657
2967567;61375
2967568;45347
2967569;08492
2967570;08491
2967571;39584
2967572;57204
2967573;80814
2967574;37073
2967575;02828
2967576;70578
2967577;59629
2967578;88524
2967579;51656
2967580;50142
2967581;27700
2967583;55117
2967584;52548
2967585;80813
2967586;80812
2967587;03110
2967588;74236
2967589;57734
2967590;80811
2967591;02827
2967593;74313
2967594;28383
2967595;28422
2967596;28122
2967597;23165
2967598;10363
2967599;51655
2967600;41296
2967603;08490
2967604;18290
2967606;16422
2967607;86299
2967608;88523
2967609;72071
2967610;72383
2967611;28051
2967612;37281
2967613;01091
2967615;85305
2967616;53276
2967617;55575
2967618;55574
2967619;16421
2967620;19288
2967621;89485
