geoname_id;code_insee
2988507;75056
2995469;13055
2996944;69123
2972315;31555
2990440;06088
2990969;44109
2973783;67482
2992166;34172
3031582;33063
2998324;59350
2983990;35238
2984114;51454
3003796;76351
8555643;95127
2980291;42218
2972328;83137
3037656;49007
3014728;38185
3021372;21231
2990363;30189
3038354;13001
8533870;78423
3030300;29019
3003603;72181
3037854;80021
2972191;37261
2998286;87085
3024635;63113
2968254;69266
3033123;25056
2989317;45234
2994160;57463
2982652;76540
2991214;68224
2987914;66136
3029241;14118
3031137;92012
2990999;54395
3037044;95018
2980916;93066
2982681;59512
2972284;59599
2992090;93048
3035681;84007
7284894;13055
3036572;92004
2990970;92050
2986495;86194
2969679;78646
3023141;92026
3022530;94028
2988358;64445
3024266;92025
2967849;94081
3036145;93005
7284889;13055
7284896;13055
7284891;13055
3006787;17300
3027105;94017
2982235;92063
3037456;06004
2978179;94068
3029162;62193
3032833;34032
3020686;59183
3036386;93001
3028808;06029
2994393;33281
3031005;18033
2977921;44184
3024297;68066
2971053;26362
2984701;29232
3020839;93029
2990189;93051
6543862;59009
3006414;83126
2998975;92044
7284895;13055
3027422;73065
3012649;92040
2990611;92051
2971549;10387
3037423;92002
3006767;85191
7284893;13055
2997577;56121
2976043;95585
2987805;33318
3012621;94041
3019265;27229
2970072;69259
3027883;95127
3024597;92024
7284892;13055
2977295;02691
2990355;79191
3033791;90010
3038334;2A004
2970777;56260
2975921;78586
2996568;94046
2994798;77284
3032213;41018
3029974;19031
3036938;13004
3034006;60057
3026204;36044
3025053;49099
3017253;83061
2988621;93055
2981280;22278
2993002;82121
3026613;08105
3038261;81004
2973385;65440
3017910;94033
3019256;91228
3024783;92023
7284890;13055
3027487;51108
2990919;11262
2978640;35288
3005866;53130
3012937;83069
3028641;11069
3037598;16015
3037543;74010
3031815;93010
3005269;93007
2968705;94076
3014856;06069
2974681;93071
3028263;81065
3027484;71076
7284885;13055
3036784;62041
3031133;62160
3025622;77108
3029227;06027
2979590;44162
3021000;59178
3020020;93031
2968054;94080
2995387;13056
7284884;13055
3031009;01053
3032179;93008
2992292;03185
3036433;13005
2971041;59606
2973675;92073
2994144;92048
7284886;13055
3034475;64102
3012647;13047
2972811;57672
2996148;78361
3024066;60159
2990474;58194
3026467;28085
7284887;13055
3004871;06030
2967421;59650
3029096;69034
3016702;05061
2973495;33522
3038224;30007
3016321;92036
2977356;69290
2982757;93064
3035843;89024
2976341;13103
2979783;78551
3034640;2B033
7284882;13055
2974733;34301
3037612;64024
2985034;92062
3023763;91174
3016621;95268
2983362;42187
